"symbol","security","sec_filings","gics_sector","gics_sub_industry","city","state","in_usa"
"VMC","Vulcan Materials","reports","Materials","Construction Materials","Birmingham","Alabama",1
"VNO","Vornado Realty Trust","reports","Real Estate","REITs","New York","New York",1
"VRSK","Verisk Analytics","reports","Industrials","Research & Consulting Services","Jersey City","New Jersey",1
"VRSN","Verisign Inc.","reports","Information Technology","Internet Software & Services","Dulles","Virginia",1
"VRTX","Vertex Pharmaceuticals Inc","reports","Health Care","Biotechnology","Cambridge","Massachusetts",1
"VTR","Ventas Inc","reports","Real Estate","REITs","Chicago","Illinois",1
"VZ","Verizon Communications","reports","Telecommunications Services","Integrated Telecommunications Services","New York","New York",1
"WAT","Waters Corporation","reports","Health Care","Health Care Distributors","Milford","Massachusetts",1
"WBA","Walgreens Boots Alliance","reports","Consumer Staples","Drug Retail","Deerfield","Illinois",1
"WDC","Western Digital","reports","Information Technology","Computer Storage & Peripherals","Irvine","California",1
"WEC","Wec Energy Group Inc","reports","Utilities","Electric Utilities","Milwaukee","Wisconsin",1
"WFC","Wells Fargo","reports","Financials","Banks","San Francisco","California",1
"WFM","Whole Foods Market","reports","Consumer Staples","Food Retail","Austin","Texas",1
"WHR","Whirlpool Corp.","reports","Consumer Discretionary","Household Appliances","Benton Harbor","Michigan",1
"WLTW","Willis Towers Watson","reports","Financials","Insurance Brokers","London","United Kingdom",0
"WM","Waste Management Inc.","reports","Industrials","Environmental Services","Houston","Texas",1
"WMB","Williams Cos.","reports","Energy","Oil & Gas Exploration & Production","Tulsa","Oklahoma",1
"WMT","Wal-Mart Stores","reports","Consumer Staples","Hypermarkets & Super Centers","Bentonville","Arkansas",1
"WRK","WestRock Company","reports","Materials","Paper Packaging","Richmond","Virginia",1
"WU","Western Union Co","reports","Information Technology","Internet Software & Services","Englewood","Colorado",1
"WY","Weyerhaeuser Corp.","reports","Real Estate","REITs","Federal Way","Washington",1
"WYN","Wyndham Worldwide","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Parsippany","New Jersey",1
"WYNN","Wynn Resorts Ltd","reports","Consumer Discretionary","Casinos & Gaming","Las Vegas","Nevada",1
"XEC","Cimarex Energy","reports","Energy","Oil & Gas Exploration & Production","Denver","Colorado",1
"XEL","Xcel Energy Inc","reports","Utilities","MultiUtilities","Minneapolis","Minnesota",1
